POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,5,10,1.6899999999999977,9,2,3,4
14,5,11,4.369999999999997,16,2,4,10
14,5,12,3.3599999999999994,21,2,4,15
14,5,13,2.6900000000000013,16,2,4,10
14,5,14,-3.370000000000001,3,0,3,0
14,5,15,0.33999999999999986,7,0,7,0
14,5,16,0.0,4,0,4,0
14,5,17,-2.0199999999999996,5,0,5,0
14,5,18,0.6799999999999997,8,1,4,3
14,5,19,0.33999999999999986,16,3,5,8
14,5,20,-0.33999999999999986,9,1,7,1
14,5,21,3.3599999999999994,18,3,7,8
14,5,22,-1.6899999999999977,3,0,3,0
14,5,23,1.009999999999998,16,3,6,7
14,5,24,2.0199999999999996,19,3,7,9
14,5,25,0.6799999999999997,7,1,5,1
14,5,26,-1.6899999999999977,3,0,3,0
14,5,27,0.3299999999999983,7,2,5,0
14,5,28,-4.039999999999999,7,0,1,6
14,5,29,-1.6799999999999997,9,0,3,6
14,5,30,1.009999999999998,18,3,6,9
14,5,31,0.0,7,0,6,1
14,5,32,-0.33999999999999986,7,2,4,1
14,5,33,0.6799999999999997,8,0,8,0
14,5,34,0.6699999999999982,9,2,7,0
14,5,35,3.0299999999999976,12,3,1,8
14,5,36,1.009999999999998,10,1,5,4
14,5,37,4.710000000000001,18,2,8,8
14,5,38,-1.6799999999999997,6,0,6,0
14,5,39,0.0,6,0,6,0
14,5,40,1.6799999999999997,10,0,10,0
14,5,41,0.0,5,0,5,0
14,5,42,-0.6699999999999982,2,1,1,0
14,5,43,0.33999999999999986,9,1,8,0
14,5,44,0.6699999999999982,8,1,4,3
14,5,45,-2.0199999999999996,6,0,6,0
14,5,46,0.3299999999999983,7,1,5,1
14,5,47,0.6699999999999982,11,1,9,1
14,5,48,1.009999999999998,18,3,6,9
14,5,49,0.33999999999999986,8,0,8,0
14,5,50,-2.0199999999999996,6,0,6,0
14,6,1,3.030000000000001,11,3,4,4
14,6,2,4.039999999999999,12,3,2,7
14,6,3,2.3500000000000014,9,2,3,4
14,6,4,5.390000000000001,20,5,0,15
14,6,5,2.6899999999999977,11,3,6,2
14,6,6,-1.009999999999998,3,0,3,0
14,6,7,2.700000000000003,24,3,6,15
14,6,8,2.0199999999999996,9,2,2,5
14,6,9,0.0,9,1,5,3
14,6,10,1.009999999999998,7,2,3,2
14,6,11,4.039999999999999,16,2,7,7
